sc,name,market,industry,trade_date,trade_seq,lookback_obs,raw_close_price,adjustment_factor,adjusted_close_price,entry_price,range_high,range_low,range_width_pct,breakout_margin_pct,day_return_pct,gap_pct,body_ratio,upper_wick_ratio,lower_wick_ratio,volume_ratio,is_bullish,prior_return_20d_pct,prior_return_60d_pct,ma_gap_20_pct,ma_gap_60_pct,ma_slope_20_pct,ma_slope_60_pct,atr_20_pct,atr_20_to_range_ratio,return_20d_pct,return_60d_pct,return_120d_pct,return_240d_pct,future_max_return_240d_pct,future_min_return_60d_pct,dataset_split,bullish_count_10,bullish_count_20,bullish_count_60,up_day_count_10,up_day_count_20,up_day_count_60,high_volume_bullish_count_20,high_volume_bullish_count_60,long_upper_wick_count_20,long_upper_wick_count_60,long_lower_wick_count_20,long_lower_wick_count_60,range_high_touch_count_120,higher_high_count_20,higher_low_count_20,label,label_reason,case_id
1332,日本水産,東証一部,水産・農林,2018-09-25,180,120,673,1.0000000000,673.00000000,673.00000000,654.00000000,516.00000000,0.26744186046511627907,0.0290519877675841,0.0290519877675841,0.0458715596330275,0.39285714285714285714,0.57142857142857142857,0.03571428571428571429,2.8693152726232640,False,0.1123966942148760,0.2371323529411765,0.0686780468439857,0.1577830662040887,0.0864314672647287,0.0544503567541420,0.01731054977711738484,0.08442028985507246377,0.1010401188707281,-0.05794947994056463596,0.2139673105497771,-0.06835066864784546805,0.2615156017830609,-0.05794947994056463596,train,5,15,38,6,13,36,2,5,8,22,4,11,1,11,13,neutral,advanced_but_not_enough_for_long_trend,1332_2018-09-25
1332,日本水産,東証一部,水産・農林,2019-03-01,284,120,761,1.0000000000,761.00000000,761.00000000,741.00000000,597.00000000,0.24120603015075376884,0.0269905533063428,0.0438957475994513,0.0137174211248285,0.91666666666666666667,0.04166666666666666667,0.04166666666666666667,1.9892650389453144,True,0.1358208955223881,0.0763790664780764,0.0567976669906957,0.1224464711521915,0.1037706928264868,0.0065073238321457,0.02095926412614980289,0.11076388888888888889,0.1051248357424442,-0.17214191852825229961,-0.21156373193166885677,-0.30486202365308804205,0.1156373193166886,-0.17214191852825229961,train,5,10,27,6,10,26,2,3,5,16,4,10,8,9,10,non_trend,early_drawdown_breached_failure_threshold,1332_2019-03-01
1352,ホウスイ,東証一部,卸売,2020-02-03,505,120,924,1.0000000000,924.00000000,924.00000000,903.00000000,769.00000000,0.17425227568270481144,0.0232558139534884,0.0289532293986637,0.0679287305122494,0.72916666666666666667,0E-20,0.27083333333333333333,2.6061493411420205,False,0.0657439446366782,0.0807017543859649,0.0345985891837420,0.0556380669484748,0.0261978628059290,0.0168054211035818,0.02564935064935064935,0.17686567164179104478,-0.18181818181818181818,-0.00974025974025974026,-0.05303030303030303030,0.0790043290043290,0.1136363636363636,-0.31385281385281385281,train,5,8,26,4,10,29,0,7,12,16,0,8,10,9,8,non_trend,early_drawdown_breached_failure_threshold,1352_2020-02-03
1352,ホウスイ,東証一部,卸売,2020-11-16,695,120,1006,1.0000000000,1006.00000000,1006.00000000,974.00000000,875.00000000,0.11314285714285714286,0.0328542094455852,0.0328542094455852,0.0010266940451745,0.88571428571428571429,0.11428571428571428571,0E-20,6.9135802469135802,True,0.1006564551422319,0.1444823663253697,0.0791096808795924,0.0947475333720255,0.0092016238159675,0.0118182485502459,0.01774353876739562624,0.18030303030303030303,0.0099403578528827,0.0039761431411531,-0.05367793240556660040,-0.08051689860834990060,0.0228628230616302,-0.04075546719681908549,train,6,11,26,6,11,33,5,10,0,6,5,17,2,12,11,non_trend,future_max_return_never_reached_half_trend_threshold,1352_2020-11-16
1376,カネコ種苗,東証一部,水産・農林,2019-10-30,444,120,1459,1.0000000000,1459.00000000,1459.00000000,1400.00000000,1116.00000000,0.25448028673835125448,0.0421428571428571,0.0751658069270450,0.0221075902726603,0.49315068493150684932,0.41095890410958904110,0.09589041095890410959,4.4824775876120619,True,0.1327639751552795,0.1407349491790461,0.0976114350197480,0.1779745404634389,0.0946635921930330,0.0061740095859623,0.01847155586017820425,0.09489436619718309859,0.0541466758053461,-0.13296778615490061686,-0.00616860863605209047,0.0500342700479781,0.1151473612063057,-0.14187799862919808088,train,8,10,29,7,10,30,0,4,3,11,6,17,4,12,13,non_trend,early_drawdown_breached_failure_threshold,1376_2019-10-30
1377,サカタのタネ,東証一部,水産・農林,2018-07-12,130,120,4445,1.0000000000,4445.00000000,4445.00000000,4325.00000000,3500.00000000,0.23571428571428571429,0.0277456647398844,0.0854700854700855,0.0122100122100122,0.80000000000000000000,0.08000000000000000000,0.12000000000000000000,4.8655367231638418,True,0.0446533490011751,0.0988875154511743,0.0754249077602371,0.0829797169715550,-0.00756347920043219881,0.0281819510260318,0.02305961754780652418,0.12424242424242424242,-0.13948256467941507312,-0.09673790776152980877,-0.23622047244094488189,-0.28233970753655793026,-0.01912260967379077615,-0.21147356580427446569,train,4,8,28,4,8,28,1,3,4,14,3,7,2,6,7,non_trend,early_drawdown_breached_failure_threshold,1377_2018-07-12
1377,サカタのタネ,東証一部,水産・農林,2020-09-29,665,120,3895,1.0000000000,3895.00000000,3895.00000000,3760.00000000,3030.00000000,0.24092409240924092409,0.0359042553191489,0.0359042553191489,0.0026595744680851,0.65789473684210526316,0.10526315789473684211,0.23684210526315789474,3.4996570644718793,True,0.1257225433526012,0.1322674418604651,0.0814938220186034,0.1344935556688269,0.0474043914497601,0.0114900198865729,0.02041078305519897304,0.10890410958904109589,-0.01797175866495507060,-0.07702182284980744544,0.0462130937098845,-0.08857509627727856226,0.0603337612323492,-0.13992297817715019255,train,8,14,31,6,10,32,5,5,5,13,4,7,2,13,12,non_trend,early_drawdown_breached_failure_threshold,1377_2020-09-29
1379,ホクト,東証一部,水産・農林,2020-07-16,617,120,2088,1.0000000000,2088.00000000,2088.00000000,2041.00000000,1647.00000000,0.23922282938676381299,0.0230279274865262,0.0230279274865262,0.0063694267515924,0.82926829268292682927,0.17073170731707317073,0E-20,2.9816437903092443,True,0.0341753343239227,0.0631364562118126,0.0348160079296246,0.0471764351867331,0.0087489063867017,0.0220581953628240,0.01561302681992337165,0.08274111675126903553,0.0507662835249042,0.0842911877394636,0.0100574712643678,-0.07231800766283524904,0.0996168582375479,-0.00957854406130268199,train,8,12,30,5,9,32,1,3,3,6,4,13,8,8,12,non_trend,future_max_return_never_reached_half_trend_threshold,1379_2020-07-16
1380,秋川牧園,JQS,水産・農林,2018-07-20,132,120,840,1.0000000000,840.00000000,840.00000000,819.00000000,681.00000000,0.20264317180616740088,0.0256410256410256,0.0294117647058824,-0.01225490196078431373,0.97142857142857142857,0.02857142857142857143,0E-20,2.0850040096230954,True,0.2173913043478261,0.1715481171548117,0.1119936457505957,0.1656952539550375,0.0879239576582415,0.00064802814293649329,0.02410714285714285714,0.14673913043478260870,-0.15000000000000000000,-0.15357142857142857143,0.0095238095238095,-0.02976190476190476190,0.9047619047619048,-0.16666666666666666667,train,8,14,23,8,15,32,12,14,0,6,5,8,3,17,14,non_trend,early_drawdown_breached_failure_threshold,1380_2018-07-20
1380,秋川牧園,JQS,水産・農林,2018-12-04,225,120,931,1.0000000000,931.00000000,931.00000000,868.00000000,690.00000000,0.25797101449275362319,0.0725806451612903,0.1920614596670935,0.0012804097311140,1.00000000000000000000,0E-20,0E-20,9.0644171779141104,True,0.3492753623188406,0.3262108262108262,0.2742078970779443,0.3019461601211980,0.0360155973059199,0.0091494966600809,0.04108485499462943072,0.21488764044943820225,-0.09237379162191192266,-0.03222341568206229860,-0.09774436090225563910,-0.12781954887218045113,0.7185821697099893,-0.15037593984962406015,train,3,3,18,4,9,27,2,4,5,17,1,5,1,10,10,non_trend,early_drawdown_breached_failure_threshold,1380_2018-12-04
