sc,action_date,action_type,integer_factor,price_multiplier,median_relative_error,max_relative_error
3452,2018-01-12,split,2,0.5000000000,0.0306122449,0.0426716141
3484,2018-01-29,split,4,0.2500000000,0.0137195122,0.0548780488
3750,2018-01-29,split,5,0.2000000000,0.0562707641,0.1009136213
3926,2018-01-29,split,3,0.3333333333,0.0382736156,0.0576547231
3988,2018-01-29,split,2,0.5000000000,0.0113095238,0.0458333333
4344,2018-01-29,split,2,0.5000000000,0.0271317829,0.0529715762
6188,2018-01-29,split,3,0.3333333333,0.0206611570,0.0342975207
6552,2018-01-29,split,2,0.5000000000,0.0086854460,0.0164319249
7810,2018-01-29,split,2,0.5000000000,0.0063141279,0.0402525651
2930,2018-02-09,split,3,0.3333333333,0.0419456479,0.0771957464
2162,2018-02-26,split,2,0.5000000000,0.0160000000,0.0480000000
2406,2018-02-26,split,2,0.5000000000,0.0175732218,0.0242677824
2471,2018-02-26,split,5,0.2000000000,0.0388655462,0.1113445378
2736,2018-02-26,reverse_split,10,10,0.0138671875,0.0273437500
3045,2018-02-26,split,2,0.5000000000,0.0069617106,0.0164097464
3168,2018-02-26,split,2,0.5000000000,0.0158730159,0.0547875064
3415,2018-02-26,split,3,0.3333333333,0.0381481481,0.0740740741
3433,2018-02-26,split,4,0.2500000000,0.0297202797,0.0363636364
3557,2018-02-26,split,2,0.5000000000,0.0178849145,0.0793157076
3558,2018-02-26,split,2,0.5000000000,0.0352941176,0.0882352941
3784,2018-02-26,split,2,0.5000000000,0.0447513812,0.0497237569
3908,2018-02-26,split,3,0.3333333333,0.0373154362,0.0429530201
3915,2018-02-26,split,2,0.5000000000,0.0161290323,0.0434243176
3922,2018-02-26,split,2,0.5000000000,0.0266288952,0.0430594901
3996,2018-02-26,split,4,0.2500000000,0.0306919643,0.0513392857
4760,2018-02-26,reverse_split,10,10,0.0166071429,0.0178571429
4820,2018-02-26,split,2,0.5000000000,0.0188293082,0.0241506345
6055,2018-02-26,split,3,0.3333333333,0.0156583630,0.0256227758
6192,2018-02-26,split,3,0.3333333333,0.0194585448,0.0406091371
7191,2018-02-26,split,2,0.5000000000,0.0315339391,0.0464991983
7219,2018-02-26,reverse_split,5,5,0.0059241706,0.0118483412
7807,2018-02-26,split,3,0.3333333333,0.0223503965,0.0266762797
7811,2018-02-26,split,2,0.5000000000,0.0218181818,0.0541176471
6554,2018-03-02,split,4,0.2500000000,0.0340640809,0.0617200675
3464,2018-03-05,split,2,0.5000000000,0.0457239627,0.0685859441
7192,2018-03-06,split,3,0.3333333333,0.0403641882,0.0931714719
6175,2018-03-09,split,2,0.5000000000,0.0324777370,0.0832896805
3545,2018-03-13,split,2,0.5000000000,0.0222950820,0.0570491803
8771,2018-03-13,split,2,0.5000000000,0.0243605359,0.0323995128
8686,2018-03-16,split,2,0.5000000000,0.0041580042,0.0062370062
1795,2018-03-28,reverse_split,5,5,0.0596551724,0.0682758621
2127,2018-03-28,split,2,0.5000000000,0.0179310345,0.0289655172
2152,2018-03-28,split,2,0.5000000000,0.0224378411,0.0309278351
2163,2018-03-28,split,2,0.5000000000,0.0312356454,0.0564997703
2185,2018-03-28,split,3,0.3333333333,0.0178571429,0.0282142857
2282,2018-03-28,reverse_split,2,2,0.0353501773,0.0469858156
2483,2018-03-28,split,2,0.5000000000,0.0346396966,0.0366624526
2538,2018-03-28,reverse_split,10,10,0.0136363636,0.0386363636
2722,2018-03-28,split,2,0.5000000000,0.0218340611,0.0475982533
3154,2018-03-28,split,3,0.3333333333,0.0193943518,0.0442327322
3182,2018-03-28,split,2,0.5000000000,0.0272047833,0.0349775785
3593,2018-03-28,split,2,0.5000000000,0.0070838253,0.0212514758
3659,2018-03-28,split,2,0.5000000000,0.0464043419,0.0616010855
3673,2018-03-28,split,2,0.5000000000,0.0136054422,0.0165208941
3682,2018-03-28,split,2,0.5000000000,0.0103626943,0.0248704663
3687,2018-03-28,split,5,0.2000000000,0.0170842825,0.0364464692
3910,2018-03-28,split,2,0.5000000000,0.0127579737,0.0191369606
3916,2018-03-28,split,2,0.5000000000,0.0238774056,0.0605844619
3923,2018-03-28,split,2,0.5000000000,0.0203030303,0.0248484848
3925,2018-03-28,split,2,0.5000000000,0.0295629820,0.0347043702
3939,2018-03-28,split,2,0.5000000000,0.0126829268,0.0419512195
3963,2018-03-28,split,3,0.3333333333,0.0354838710,0.0716845878
3985,2018-03-28,split,2,0.5000000000,0.0216284987,0.0826972010
3987,2018-03-28,split,3,0.3333333333,0.0167410714,0.0446428571
3992,2018-03-28,split,2,0.5000000000,0.0399188092,0.0926928281
3997,2018-03-28,split,3,0.3333333333,0.0247546347,0.0345692475
3999,2018-03-28,split,2,0.5000000000,0.0136612022,0.0267759563
4549,2018-03-28,split,2,0.5000000000,0.0139312977,0.0217557252
4739,2018-03-28,split,2,0.5000000000,0.0319004525,0.0407239819
4768,2018-03-28,split,2,0.5000000000,0.0075685904,0.0179754021
4775,2018-03-28,split,2,0.5000000000,0.0230899830,0.0553480475
4816,2018-03-28,split,3,0.3333333333,0.0496641075,0.0686180422
4975,2018-03-28,split,2,0.5000000000,0.0064921466,0.0324607330
5921,2018-03-28,reverse_split,5,5,0.0076670318,0.0153340635
6062,2018-03-28,split,2,0.5000000000,0.0059021922,0.0404721754
6065,2018-03-28,split,2,0.5000000000,0.0174319728,0.0459183673
6194,2018-03-28,split,3,0.3333333333,0.0109841828,0.0228471002
