sc,name,market,industry,trade_date,trade_seq,lookback_obs,close_price,high_price,low_price,volume,range_high,range_low,avg_volume,breakout_price,range_width_pct,breakout_pct,volume_ratio,close_fwd_20,close_fwd_60,close_fwd_120,close_fwd_240,future_max_close_240,future_min_close_60,return_20d,return_60d,return_120d,return_240d,future_max_return_240d,future_min_return_60d,label,label_reason
1332,日本水産,東証一部,水産・農林,2018-09-25,180,120,673,700,672,8125700,654,516,2831930.000000000000,673,0.26744186046511627907,0.0290519877675841,2.8693152726232640,741,634,817,627,849,634,0.10104012,-0.05794948,0.21396731,-0.06835067,0.26151560,-0.05794948,neutral,advanced_but_not_enough_for_long_trend
1332,日本水産,東証一部,水産・農林,2019-03-01,284,120,761,762,738,3680200,741,597,1850030.000000000000,761,0.24120603015075376884,0.0269905533063428,1.9892650389453144,841,630,600,529,849,630,0.10512484,-0.17214192,-0.21156373,-0.30486202,0.11563732,-0.17214192,non_trend,early_drawdown_breached_failure_threshold
1352,ホウスイ,東証一部,卸売,2020-02-03,505,120,924,959,911,17800,903,769,6830.0000000000000000,924,0.17425227568270481144,0.0232558139534884,2.6061493411420205,756,915,875,997,1029,634,-0.18181818,-0.00974026,-0.05303030,0.07900433,0.11363636,-0.31385281,non_trend,early_drawdown_breached_failure_threshold
1352,ホウスイ,東証一部,卸売,2020-11-16,695,120,1006,1010,975,11200,974,875,1620.0000000000000000,1006,0.11314285714285714286,0.0328542094455852,6.9135802469135802,1016,1010,952,925,1029,965,0.00994036,0.00397614,-0.05367793,-0.08051690,0.02286282,-0.04075547,non_trend,future_max_return_never_reached_half_trend_threshold
1376,カネコ種苗,東証一部,水産・農林,2019-10-30,444,120,1459,1519,1373,27500,1400,1116,6135.0000000000000000,1459,0.25448028673835125448,0.0421428571428571,4.4824775876120619,1538,1265,1450,1532,1627,1252,0.05414668,-0.13296779,-0.00616861,0.05003427,0.11514736,-0.14187800,non_trend,early_drawdown_breached_failure_threshold
1377,サカタのタネ,東証一部,水産・農林,2018-07-12,130,120,4445,4475,4100,430600,4325,3500,88500.000000000000,4445,0.23571428571428571429,0.0277456647398844,4.8655367231638418,3825,4015,3395,3190,4360,3505,-0.13948256,-0.09673791,-0.23622047,-0.28233971,-0.01912261,-0.21147357,non_trend,early_drawdown_breached_failure_threshold
1377,サカタのタネ,東証一部,水産・農林,2020-09-29,665,120,3895,3915,3725,204100,3760,3030,58320.000000000000,3895,0.24092409240924092409,0.0359042553191489,3.4996570644718793,3825,3595,4075,3550,4130,3350,-0.01797176,-0.07702182,0.04621309,-0.08857510,0.06033376,-0.13992298,non_trend,early_drawdown_breached_failure_threshold
1379,ホクト,東証一部,水産・農林,2020-07-16,617,120,2088,2095,2054,180300,2041,1647,60470.000000000000,2088,0.23922282938676381299,0.0230279274865262,2.9816437903092443,2194,2264,2109,1937,2296,2068,0.05076628,0.08429119,0.01005747,-0.07231801,0.09961686,-0.00957854,non_trend,future_max_return_never_reached_half_trend_threshold
1380,秋川牧園,JQS,水産・農林,2018-07-20,132,120,840,841,806,13000,819,681,6235.0000000000000000,840,0.20264317180616740088,0.0256410256410256,2.0850040096230954,714,711,848,815,1600,700,-0.15000000,-0.15357143,0.00952381,-0.02976190,0.90476190,-0.16666667,non_trend,early_drawdown_breached_failure_threshold
1380,秋川牧園,JQS,水産・農林,2018-12-04,225,120,931,931,782,118200,868,690,13040.000000000000,931,0.25797101449275362319,0.0725806451612903,9.0644171779141104,845,901,840,812,1600,791,-0.09237379,-0.03222342,-0.09774436,-0.12781955,0.71858217,-0.15037594,non_trend,early_drawdown_breached_failure_threshold
1380,秋川牧園,JQS,水産・農林,2020-04-24,559,120,887,926,834,25500,837,681,4030.0000000000000000,887,0.22907488986784140969,0.0597371565113501,6.3275434243176179,792,940,1385,1180,1441,778,-0.10710259,0.05975197,0.56144307,0.33032694,0.62457723,-0.12288613,non_trend,early_drawdown_breached_failure_threshold
1381,アクシーズ,JQS,水産・農林,2020-01-29,503,120,2730,2823,2455,92300,2530,2152,3650.0000000000000000,2730,0.17565055762081784387,0.0790513833992095,25.2876712328767123,2306,2420,2671,3370,3585,1800,-0.15531136,-0.11355311,-0.02161172,0.23443223,0.31318681,-0.34065934,non_trend,early_drawdown_breached_failure_threshold
1382,ホーブ,JQS,水産・農林,2019-08-07,271,120,995,995,995,6700,946,778,390.0000000000000000,995,0.21593830334190231362,0.0517970401691332,17.1794871794871795,1086,1386,1296,902,2087,991,0.09145729,0.39296482,0.30251256,-0.09346734,1.09748744,-0.00402010,trend,future_max_and_confirm_return_cleared_thresholds
