sc,name,market,industry,trade_date,trade_seq,lookback_obs,close_price,high_price,low_price,volume,range_high,range_low,avg_volume,breakout_price,range_width_pct,breakout_pct,volume_ratio,close_fwd_20,close_fwd_60,close_fwd_120,close_fwd_240,future_max_close_240,future_min_close_60,return_20d,return_60d,return_120d,return_240d,future_max_return_240d,future_min_return_60d,label,label_reason
1722,ミサワホーム,東証一部,建設,2019-11-08,450,120,1220,1230,1198,207300,1195,959,136215.000000000000,1220,0.24608967674661105318,0.0209205020920502,1.5218588261204713,1197,,,,1224,1153,-0.01885246,,,,0.00327869,-0.05491803,incomplete,insufficient_future_bars
1906,細田工務店,JQS,建設,2019-12-13,475,120,121,121,115,116400,116,101,25475.000000000000,121,0.14851485148514851485,0.0431034482758621,4.5691854759568204,129,129,,,137,117,0.06611570,0.06611570,,,0.13223140,-0.03305785,incomplete,insufficient_future_bars
1983,東芝プラントシステム,東証一部,建設,2019-11-12,452,120,2457,2513,2360,2222800,2146,1710,153275.000000000000,2457,0.25497076023391812865,0.1449207828518173,14.5020388191159680,2663,,,,2701,2656,0.08384208,,,,0.09930810,0.08099308,incomplete,insufficient_future_bars
2417,ツヴァイ,東証二部,サービス,2020-01-06,479,120,759,760,730,38600,736,667,4865.0000000000000000,759,0.10344827586206896552,0.0312500000000000,7.9342240493319630,695,879,,,883,465,-0.08432148,0.15810277,,,0.16337286,-0.38735178,incomplete,insufficient_future_bars
2714,プラマテルズ,JQS,卸売,2020-11-27,702,120,660,660,660,3900,601,525,3050.0000000000000000,660,0.14476190476190476190,0.0981697171381032,1.2786885245901639,769,,,,770,760,0.16515152,,,,0.16666667,0.15151515,incomplete,insufficient_future_bars
3209,カネヨウ,東証二部,卸売,2019-11-13,453,120,866,866,866,17900,744,670,2585.0000000000000000,866,0.11044776119402985075,0.1639784946236559,6.9245647969052224,897,895,,,899,891,0.03579677,0.03348730,,,0.03810624,0.02886836,incomplete,insufficient_future_bars
3366,一六堂,東証一部,小売,2018-11-07,210,120,512,514,512,1319600,447,355,17920.000000000000,512,0.25915492957746478873,0.1454138702460850,73.6383928571428571,512,512,,,514,499,0.00000000,0.00000000,,,0.00390625,-0.02539062,incomplete,insufficient_future_bars
3424,ミヤコ,JQS,金属製品,2020-01-28,223,120,1040,1139,1002,15300,992,861,1020.0000000000000000,1040,0.15214866434378629501,0.0483870967741935,15.0000000000000000,1326,,,,1395,905,0.27500000,,,,0.34134615,-0.12980769,incomplete,insufficient_future_bars
3711,創通,JQS,情報通信,2019-10-10,390,120,2268,2268,2268,4100,2135,1806,1395.0000000000000000,2268,0.18217054263565891473,0.0622950819672131,2.9390681003584229,3095,3080,,,3190,2768,0.36463845,0.35802469,,,0.40652557,0.22045855,incomplete,insufficient_future_bars
3794,エヌ・デーソフトウェア,東証二部,情報通信,2019-02-08,270,120,1621,1621,1621,6900,1388,1147,3310.0000000000000000,1621,0.21011333914559721011,0.1678674351585014,2.0845921450151057,1702,1696,,,1708,1685,0.04996915,0.04626774,,,0.05367057,0.03948180,incomplete,insufficient_future_bars
4291,JIEC,東証二部,情報通信,2019-02-04,240,120,2746,2747,2745,97500,2346,1765,2345.0000000000000000,2746,0.32917847025495750708,0.1705029838022165,41.5778251599147122,2746,,,,2750,2731,0.00000000,,,,0.00145666,-0.00546249,incomplete,insufficient_future_bars
