sc,name,market,industry,trade_date,trade_seq,lookback_obs,close_price,high_price,low_price,volume,range_high,range_low,avg_volume,breakout_price,range_width_pct,breakout_pct,volume_ratio,close_fwd_20,close_fwd_60,close_fwd_120,close_fwd_240,future_max_close_240,future_min_close_60,return_20d,return_60d,return_120d,return_240d,future_max_return_240d,future_min_return_60d,label,label_reason
1332,日本水産,東証一部,水産・農林,2018-09-25,180,120,673,700,672,8125700,654,516,2831930.000000000000,673,0.26744186046511627907,0.0290519877675841,2.8693152726232640,741,634,817,627,849,634,0.10104012,-0.05794948,0.21396731,-0.06835067,0.26151560,-0.05794948,neutral,advanced_but_not_enough_for_long_trend
1419,タマホーム,東証一部,建設,2019-07-12,372,120,1348,1354,1263,2418400,1254,964,295945.000000000000,1348,0.30082987551867219917,0.0749601275917065,8.1717886769501090,1536,1621,1540,1204,2010,1351,0.13946588,0.20252226,0.14243323,-0.10682493,0.49109792,0.00222552,neutral,advanced_but_not_enough_for_long_trend
1450,田中建設工業,JQS,建設,2019-12-16,233,120,2736,2881,2650,13000,2654,2218,2905.0000000000000000,2736,0.19657348963029756537,0.0308967596081387,4.4750430292598967,2853,2910,3000,2060,5900,2630,0.04276316,0.06359649,0.09649123,-0.24707602,1.15643275,-0.03874269,neutral,advanced_but_not_enough_for_long_trend
1716,第一カッター興業,東証一部,建設,2020-06-05,588,120,1994,2048,1935,64800,1909,1420,9545.0000000000000000,1994,0.34436619718309859155,0.0445259298061812,6.7888947092718701,2330,2282,2220,1393,2734,2055,0.16850552,0.14443330,0.11334002,-0.30140421,0.37111334,0.03059178,neutral,advanced_but_not_enough_for_long_trend
1722,ミサワホーム,東証一部,建設,2019-05-09,326,120,951,951,779,91600,844,673,38020.000000000000,951,0.25408618127786032689,0.1267772511848341,2.4092582851130984,993,1047,1165,,1224,959,0.04416404,0.10094637,0.22502629,,0.28706625,0.00841220,neutral,advanced_but_not_enough_for_long_trend
1726,ビーアールホールディングス,東証一部,建設,2019-09-11,413,120,371,372,362,86500,363,300,69720.000000000000,371,0.21000000000000000000,0.0220385674931129,1.2406769936890419,416,496,393,747,747,371,0.12129380,0.33692722,0.05929919,1.01347709,1.01347709,0.00000000,neutral,advanced_but_not_enough_for_long_trend
1737,三井金属エンジニアリング,東証二部,建設,2020-12-03,707,120,1000,1010,954,18000,980,792,3820.0000000000000000,1000,0.23737373737373737374,0.0204081632653061,4.7120418848167539,1000,1018,1019,939,1425,978,0.00000000,0.01800000,0.01900000,-0.06100000,0.42500000,-0.02200000,neutral,advanced_but_not_enough_for_long_trend
1770,藤田エンジニアリング,JQS,建設,2020-12-10,706,120,884,895,862,10900,860,732,3310.0000000000000000,884,0.17486338797814207650,0.0279069767441860,3.2930513595166163,910,956,1073,962,1093,861,0.02941176,0.08144796,0.21380090,0.08823529,0.23642534,-0.02601810,neutral,advanced_but_not_enough_for_long_trend
1776,三井住建道路,東証二部,建設,2019-12-05,452,120,820,820,786,36300,788,728,4210.0000000000000000,820,0.08241758241758241758,0.0406091370558376,8.6223277909738717,896,741,837,886,1038,741,0.09268293,-0.09634146,0.02073171,0.08048780,0.26585366,-0.09634146,neutral,advanced_but_not_enough_for_long_trend
1777,川崎設備工業,名証二部,建設,2019-11-20,437,120,456,460,438,11000,445,349,4110.0000000000000000,456,0.27507163323782234957,0.0247191011235955,2.6763990267639903,479,475,490,499,570,444,0.05043860,0.04166667,0.07456140,0.09429825,0.25000000,-0.02631579,neutral,advanced_but_not_enough_for_long_trend
1793,大本組,JQS,建設,2020-11-24,674,120,4885,4890,4700,1400,4730,4160,780.0000000000000000,4885,0.13701923076923076923,0.0327695560253700,1.7948717948717949,5120,5060,5300,6060,6060,4780,0.04810645,0.03582395,0.08495394,0.24053224,0.24053224,-0.02149437,neutral,advanced_but_not_enough_for_long_trend
1795,マサル,JQS,建設,2020-08-12,489,120,3380,3600,3280,2200,3290,2721,1000.0000000000000000,3380,0.20911429621462697538,0.0273556231003040,2.2000000000000000,4030,3500,3645,3390,4555,3370,0.19230769,0.03550296,0.07840237,0.00295858,0.34763314,-0.00295858,neutral,advanced_but_not_enough_for_long_trend
1813,不動テトラ,東証一部,建設,2020-09-15,657,120,1535,1538,1498,144600,1501,1112,107755.000000000000,1535,0.34982014388489208633,0.0226515656229181,1.3419330889517888,1513,1735,2007,1806,2009,1459,-0.01433225,0.13029316,0.30749186,0.17654723,0.30879479,-0.04951140,neutral,advanced_but_not_enough_for_long_trend
