sc,name,market,industry,trade_date,trade_seq,lookback_obs,close_price,high_price,low_price,volume,range_high,range_low,avg_volume,breakout_price,range_width_pct,breakout_pct,volume_ratio,close_fwd_20,close_fwd_60,close_fwd_120,close_fwd_240,future_max_close_240,future_min_close_60,return_20d,return_60d,return_120d,return_240d,future_max_return_240d,future_min_return_60d,label,label_reason
1382,ホーブ,JQS,水産・農林,2019-08-07,271,120,995,995,995,6700,946,778,390.0000000000000000,995,0.21593830334190231362,0.0517970401691332,17.1794871794871795,1086,1386,1296,902,2087,991,0.09145729,0.39296482,0.30251256,-0.09346734,1.09748744,-0.00402010,trend,future_max_and_confirm_return_cleared_thresholds
1407,ウエストホールディングス,JQS,建設,2018-10-16,194,120,950,959,857,2053700,908,710,177670.000000000000,950,0.27887323943661971831,0.0462555066079295,11.5590701863004446,1224,1101,1244,1260,1489,979,0.28842105,0.15894737,0.30947368,0.32631579,0.56736842,0.03052632,trend,future_max_and_confirm_return_cleared_thresholds
1429,日本アクア,東証一部,建設,2018-12-28,245,120,437,448,410,620400,416,322,109425.000000000000,437,0.29192546583850931677,0.0504807692307692,5.6696367374914325,401,539,612,638,758,400,-0.08237986,0.23340961,0.40045767,0.45995423,0.73455378,-0.08466819,trend,future_max_and_confirm_return_cleared_thresholds
1431,Lib_Work,福証QB,建設,2019-05-14,325,120,1100,1105,980,5300,1050,785,1455.0000000000000000,1100,0.33757961783439490446,0.0476190476190476,3.6426116838487973,1185,1159,2818,1626,4965,1087,0.07727273,0.05363636,1.56181818,0.47818182,3.51363636,-0.01181818,trend,future_max_and_confirm_return_cleared_thresholds
1712,ダイセキ環境ソリューション,東証一部,建設,2019-08-06,388,120,702,710,655,90900,682,601,41905.000000000000,702,0.13477537437603993344,0.0293255131964809,2.1691922204987472,664,947,1084,696,1224,651,-0.05413105,0.34900285,0.54415954,-0.00854701,0.74358974,-0.07264957,trend,future_max_and_confirm_return_cleared_thresholds
1726,ビーアールホールディングス,東証一部,建設,2020-05-18,574,120,528,531,516,143000,510,393,44230.000000000000,528,0.29770992366412213740,0.0352941176470588,3.2330997060818449,515,682,780,553,802,515,-0.02462121,0.29166667,0.47727273,0.04734848,0.51893939,-0.02462121,trend,future_max_and_confirm_return_cleared_thresholds
1776,三井住建道路,東証二部,建設,2018-09-06,161,120,382,389,374,62000,372,349,12900.000000000000,382,0.06590257879656160458,0.0268817204301075,4.8062015503875969,720,679,756,764,774,369,0.88481675,0.77748691,0.97905759,1.00000000,1.02617801,-0.03403141,trend,future_max_and_confirm_return_cleared_thresholds
1813,不動テトラ,東証一部,建設,2018-08-08,148,120,218,220,210,4642900,212,179,1323905.000000000000,218,0.18435754189944134078,0.0283018867924528,3.5069736876890713,213,1725,1675,1167,2135,206,-0.02293578,6.91284404,6.68348624,4.35321101,8.79357798,-0.05504587,trend,future_max_and_confirm_return_cleared_thresholds
1885,東亜建設工業,東証一部,建設,2020-10-06,669,120,1790,1801,1722,121600,1716,1290,69055.000000000000,1790,0.33023255813953488372,0.0431235431235431,1.7609152125117660,1930,1981,2473,2474,2576,1763,0.07821229,0.10670391,0.38156425,0.38212291,0.43910615,-0.01508380,trend,future_max_and_confirm_return_cleared_thresholds
1898,世紀東急工業,東証一部,建設,2019-07-31,384,120,670,688,665,415100,653,563,49480.000000000000,670,0.15985790408525754885,0.0260336906584992,8.3892481810832660,663,761,922,738,1004,659,-0.01044776,0.13582090,0.37611940,0.10149254,0.49850746,-0.01641791,trend,future_max_and_confirm_return_cleared_thresholds
2150,ケアネット,東証マザ,サービス,2019-11-20,458,120,775,793,741,124300,727,599,22435.000000000000,775,0.21368948247078464107,0.0660247592847318,5.5404501894361489,775,809,1195,4675,5030,737,0.00000000,0.04387097,0.54193548,5.03225806,5.49032258,-0.04903226,trend,future_max_and_confirm_return_cleared_thresholds
2153,E・Jホールディングス,東証一部,サービス,2019-07-16,373,120,1274,1325,1225,116300,1216,983,3490.0000000000000000,1274,0.23702950152594099695,0.0476973684210526,33.3237822349570201,1205,1343,1805,1961,1961,1169,-0.05416013,0.05416013,0.41679749,0.53924647,0.53924647,-0.08241758,trend,future_max_and_confirm_return_cleared_thresholds
2164,地域新聞社,JQG,サービス,2018-09-03,160,120,629,632,552,78900,558,448,5940.0000000000000000,629,0.24553571428571428571,0.1272401433691756,13.2828282828282828,1800,3515,3790,898,5000,659,1.86168521,4.58823529,5.02543720,0.42766296,6.94912560,0.04769475,trend,future_max_and_confirm_return_cleared_thresholds
2180,サニーサイドアップ,東証一部,サービス,2019-01-04,246,120,1150,1159,1099,25900,1122,898,15740.000000000000,1150,0.24944320712694877506,0.0249554367201426,1.6454891994917408,1335,1711,2118,1148,2258,1161,0.16086957,0.48782609,0.84173913,-0.00173913,0.96347826,0.00956522,trend,future_max_and_confirm_return_cleared_thresholds
2222,寿スピリッツ,東証一部,食料品,2019-05-14,329,120,5140,5150,4520,323300,4985,3815,83815.000000000000,5140,0.30668414154652686763,0.0310932798395186,3.8573047783809581,5160,6700,7420,4920,8870,5060,0.00389105,0.30350195,0.44357977,-0.04280156,0.72568093,-0.01556420,trend,future_max_and_confirm_return_cleared_thresholds
2303,ドーン,JQS,情報通信,2019-08-21,398,120,1213,1303,1024,1394300,1158,922,12610.000000000000,1213,0.25596529284164859002,0.0474956822107081,110.5709754163362411,1168,1456,2253,2285,2711,1110,-0.03709810,0.20032976,0.85737840,0.88375927,1.23495466,-0.08491344,trend,future_max_and_confirm_return_cleared_thresholds
2305,スタジオアリス,東証一部,サービス,2020-10-13,674,120,1858,1861,1699,184200,1731,1368,36920.000000000000,1858,0.26535087719298245614,0.0733679953783940,4.9891657638136511,2037,1974,2301,2326,2657,1883,0.09634015,0.06243272,0.23842842,0.25188375,0.43003229,0.01345533,trend,future_max_and_confirm_return_cleared_thresholds
