sc,name,market,industry,trade_date,close_price,volume,market_cap_million_yen
0001,日経平均株価（日経225）,東証,株価指数,2026-04-09,55895.32,,
0002,TOPIX（東証株価指数）,東証,株価指数,2026-04-09,3741.47,,
1301,極洋,東証PR,水産・農林,2026-04-09,5100,29300,61599
130A,Veritas_In_Silico,東証GR,医薬品,2026-04-09,460,8700,2984
1332,ニッスイ,東証PR,水産・農林,2026-04-09,1377,979600,430216
1333,Umios,東証PR,水産・農林,2026-04-09,1490.5,425800,226163
135A,VRAIN_Solution,東証GR,情報通信,2026-04-09,2635,68000,27025
1375,ユキグニファクトリー,東証PR,水産・農林,2026-04-09,1057,27700,42186
1376,カネコ種苗,東証ST,水産・農林,2026-04-09,1456,18100,17141
1377,サカタのタネ,東証PR,水産・農林,2026-04-09,4240,378500,192542
1379,ホクト,東証PR,水産・農林,2026-04-09,1942,105000,64783
137A,Cocolive,東証GR,情報通信,2026-04-09,720,7800,2192
1380,秋川牧園,東証ST,水産・農林,2026-04-09,1030,900,4304
1381,アクシーズ,東証ST,水産・農林,2026-04-09,3935,32600,22105
1382,ホーブ,東証ST,水産・農林,2026-04-09,1753,1300,1336
1383,ベルグアース,東証ST,水産・農林,2026-04-09,3360,6200,5422
1384,ホクリヨウ,東証ST,水産・農林,2026-04-09,2946,21100,24920
138A,光フードサービス,東証GR,小売,2026-04-09,2990,1700,2966
1401,エムビーエス,東証GR,建設,2026-04-09,1413,1100,10925
1407,ウエストホールディングス,東証ST,建設,2026-04-09,1824,395700,83954
1414,ショーボンドホールディングス,東証PR,建設,2026-04-09,1440,765200,315332
1417,ミライト・ワン,東証PR,建設,2026-04-09,3748,199000,342287
1418,インターライフホールディングス,東証ST,建設,2026-04-09,498,46300,8471
1419,タマホーム,東証PR,建設,2026-04-09,4055,179200,119443
141A,トライアルホールディングス,東証GR,小売,2026-04-09,4425,1292200,543024
1420,サンヨーホームズ,東証ST,建設,2026-04-09,662,25400,8772
1429,日本アクア,東証PR,建設,2026-04-09,709,302800,24645
142A,ジンジブ,東証GR,サービス,2026-04-09,683,5200,1984
1430,ファーストコーポレーション,東証ST,建設,2026-04-09,1071,22300,14312
1431,Lib_Work,東証GR,建設,2026-04-09,645,22000,15578
1433,ベステラ,東証PR,建設,2026-04-09,1129,409000,10497
1434,JESCOホールディングス,東証ST,建設,2026-04-09,1819,54100,12688
