sc,name,market,industry,trade_date,close_price,volume,market_cap_million_yen
0001,日経平均株価（日経225）,東証,株価指数,2026-04-13,56502.77,,
0002,TOPIX（東証株価指数）,東証,株価指数,2026-04-13,3723.01,,
1301,極洋,東証PR,水産・農林,2026-04-13,4995,28000,60331
130A,Veritas_In_Silico,東証GR,医薬品,2026-04-13,510,107500,3308
1332,ニッスイ,東証PR,水産・農林,2026-04-13,1336,1012600,417407
1333,Umios,東証PR,水産・農林,2026-04-13,1462.5,454200,221915
135A,VRAIN_Solution,東証GR,情報通信,2026-04-13,2781,168800,28522
1375,ユキグニファクトリー,東証PR,水産・農林,2026-04-13,1056,21000,42146
1376,カネコ種苗,東証ST,水産・農林,2026-04-13,1434,15400,16882
1377,サカタのタネ,東証PR,水産・農林,2026-04-13,4275,125200,194131
1379,ホクト,東証PR,水産・農林,2026-04-13,1915,63300,63883
137A,Cocolive,東証GR,情報通信,2026-04-13,752,21100,2289
1380,秋川牧園,東証ST,水産・農林,2026-04-13,1032,500,4313
1381,アクシーズ,東証ST,水産・農林,2026-04-13,3845,15900,21599
1382,ホーブ,東証ST,水産・農林,2026-04-13,1745,300,1330
1383,ベルグアース,東証ST,水産・農林,2026-04-13,3330,9300,5373
1384,ホクリヨウ,東証ST,水産・農林,2026-04-13,2845,18000,24066
138A,光フードサービス,東証GR,小売,2026-04-13,2975,1200,2951
1401,エムビーエス,東証GR,建設,2026-04-13,1401,12900,10833
1407,ウエストホールディングス,東証ST,建設,2026-04-13,1855,750200,85381
1414,ショーボンドホールディングス,東証PR,建設,2026-04-13,1411.5,723200,309091
1417,ミライト・ワン,東証PR,建設,2026-04-13,3694,120500,337356
1418,インターライフホールディングス,東証ST,建設,2026-04-13,489,82700,8318
1419,タマホーム,東証PR,建設,2026-04-13,3655,829100,107661
141A,トライアルホールディングス,東証GR,小売,2026-04-13,4170,1808700,511732
1420,サンヨーホームズ,東証ST,建設,2026-04-13,640,137900,8480
1429,日本アクア,東証PR,建設,2026-04-13,711,325600,24714
142A,ジンジブ,東証GR,サービス,2026-04-13,684,5900,1987
1430,ファーストコーポレーション,東証ST,建設,2026-04-13,1067,39500,14259
1431,Lib_Work,東証GR,建設,2026-04-13,643,7900,15529
1433,ベステラ,東証PR,建設,2026-04-13,1051,194800,9771
1434,JESCOホールディングス,東証ST,建設,2026-04-13,1875,195700,13079
1435,robot_home,東証ST,不動産,2026-04-13,203,270500,18499
1436,グリーンエナジー＆カンパニー,東証GR,建設,2026-04-13,3980,29500,17058
1438,岐阜造園,東証ST,建設,2026-04-13,1830,500,5938
143A,イシン,東証GR,サービス,2026-04-13,757,700,1463
1443,技研ホールディングス,東証ST,建設,2026-04-13,301,93200,4888
1444,ニッソウ,東証GR,建設,2026-04-13,2770,400,3016
1446,キャンディル,東証ST,建設,2026-04-13,530,15800,5689
1447,SAAFホールディングス,東証GR,建設,2026-04-13,331,367500,8092
1450,TANAKEN,東証ST,建設,2026-04-13,1505,3200,13093
145A,L_is_B,東証GR,情報通信,2026-04-13,813,2500,4166
146A,コロンビア・ワークス,東証ST,不動産,2026-04-13,3960,74300,30558
147A,ソラコム,東証GR,情報通信,2026-04-13,968,33000,44121
148A,ハッチ・ワーク,東証GR,情報通信,2026-04-13,1839,600,3528
1491,中外鉱業,東証ST,非鉄金属,2026-04-13,982,25300,14227
149A,シンカ,東証GR,情報通信,2026-04-13,863,25200,2774
150A,JSH,東証GR,サービス,2026-04-13,370,400,2096
1514,住石ホールディングス,東証ST,鉱業,2026-04-13,879,1528600,59089
1515,日鉄鉱業,東証PR,鉱業,2026-04-13,2637,657500,210960
1518,三井松島ホールディングス,東証PR,その他製品,2026-04-13,1381,193200,90210
151A,ダイブ,東証GR,サービス,2026-04-13,633,26300,5443
153A,カウリス,東証GR,情報通信,2026-04-13,1370,123500,8947
155A,情報戦略テクノロジー,東証GR,情報通信,2026-04-13,808,110200,8621
156A,マテリアルグループ,東証GR,サービス,2026-04-13,875,44500,8643
157A,グリーンモンスター,東証GR,サービス,2026-04-13,1004,83000,3307
1605,INPEX,東証PR,鉱業,2026-04-13,4277,9931200,5385325
160A,アズパートナーズ,東証ST,サービス,2026-04-13,2144,6000,7691
1662,石油資源開発,東証PR,鉱業,2026-04-13,2524,3066100,648669
1663,K＆Oエナジーグループ,東証PR,鉱業,2026-04-13,5110,171600,144797
166A,タスキホールディングス,東証GR,不動産,2026-04-13,806,324500,49759
167A,リョーサン菱洋ホールディングス,東証PR,卸売,2026-04-13,2680,272700,144720
168A,イタミアート,東証GR,その他製品,2026-04-13,1254,2100,1843
1711,SDSホールディングス,東証ST,建設,2026-04-13,279,48200,2911
1716,第一カッター興業,東証ST,建設,2026-04-13,1502,19100,18024
1717,明豊ファシリティワークス,東証ST,サービス,2026-04-13,993,28600,12686
1718,美樹工業,東証ST,建設,2026-04-13,7260,800,8373
1719,安藤・間,東証PR,建設,2026-04-13,1979.5,588100,358331
1720,東急建設,東証PR,建設,2026-04-13,1442,218700,153950
1721,コムシスホールディングス,東証PR,建設,2026-04-13,5162,336200,609116
1723,日本電技,東証ST,建設,2026-04-13,2695,313200,176738
1724,シンクレイヤ,東証ST,建設,2026-04-13,733,2900,3624
1726,ビーアールホールディングス,東証PR,建設,2026-04-13,526,162500,24088
1736,オーテック,東証ST,建設,2026-04-13,2371,1900,40544
173A,ハンモック,東証GR,情報通信,2026-04-13,1423,3000,6204
1758,太洋基礎工業,東証ST,建設,2026-04-13,2527,3700,6213
175A,Will_Smart,東証GR,情報通信,2026-04-13,670,2100,986
1762,高松コンストラクショングループ,東証PR,建設,2026-04-13,3625,44200,126217
1764,工藤建設,東証ST,建設,2026-04-13,3215,800,4280
1766,東建コーポレーション,東証PR,建設,2026-04-13,14030,69100,189012
1768,ソネック,東証ST,建設,2026-04-13,1325,7200,9938
1770,藤田エンジニアリング,東証ST,建設,2026-04-13,1653,800,16861
1773,ワイ・ティー・エル・コーポレーション・バーハッド（外国株）,東証PR,建設,2026-04-13,78,12000,
1776,三井住建道路,東証ST,建設,2026-04-13,1998,22500,18536
177A,コージンバイオ,東証GR,化学,2026-04-13,1269,9500,6487
1780,ヤマウラ,東証PR,建設,2026-04-13,1497,27300,31592
1783,fantasista,東証ST,不動産,2026-04-13,63,1018800,10839
1786,オリエンタル白石,東証PR,建設,2026-04-13,370,355000,51359
1787,ナカボーテック,東証ST,建設,2026-04-13,5660,200,14730
1788,三東工業社,東証ST,建設,2026-04-13,5090,200,3492
1793,大本組,東証ST,建設,2026-04-13,1620,2800,43407
1795,マサル,東証ST,建設,2026-04-13,4810,700,4335
1798,守谷商会,東証ST,建設,2026-04-13,1231,4500,13910
1799,第一建設工業,東証ST,建設,2026-04-13,3845,22100,80201
