sc,name,market,industry,trade_date,close_price,volume,market_cap_million_yen
0001,日経平均株価（日経225）,東証,株価指数,2026-04-15,58134.24,,
0002,TOPIX（東証株価指数）,東証,株価指数,2026-04-15,3770.33,,
1301,極洋,東証PR,水産・農林,2026-04-15,4960,22300,59908
130A,Veritas_In_Silico,東証GR,医薬品,2026-04-15,491,20400,3185
1332,ニッスイ,東証PR,水産・農林,2026-04-15,1353.5,1191100,422874
1333,Umios,東証PR,水産・農林,2026-04-15,1435,479700,217742
135A,VRAIN_Solution,東証GR,情報通信,2026-04-15,3415,168600,35024
1375,ユキグニファクトリー,東証PR,水産・農林,2026-04-15,1056,28300,42146
1376,カネコ種苗,東証ST,水産・農林,2026-04-15,1470,16200,17306
1377,サカタのタネ,東証PR,水産・農林,2026-04-15,4305,130100,195493
1379,ホクト,東証PR,水産・農林,2026-04-15,1918,59000,63983
137A,Cocolive,東証GR,情報通信,2026-04-15,720,9700,2192
1380,秋川牧園,東証ST,水産・農林,2026-04-15,1033,1100,4317
1381,アクシーズ,東証ST,水産・農林,2026-04-15,3905,12800,21936
1382,ホーブ,東証ST,水産・農林,2026-04-15,1722,1400,1312
1383,ベルグアース,東証ST,水産・農林,2026-04-15,3320,7700,5357
1384,ホクリヨウ,東証ST,水産・農林,2026-04-15,2839,21100,24015
138A,光フードサービス,東証GR,小売,2026-04-15,3055,8100,3031
1401,エムビーエス,東証GR,建設,2026-04-15,1383,2200,10693
1407,ウエストホールディングス,東証ST,建設,2026-04-15,2122,2113400,97670
1414,ショーボンドホールディングス,東証PR,建設,2026-04-15,1391,924700,304602
1417,ミライト・ワン,東証PR,建設,2026-04-15,3733,141900,340917
1418,インターライフホールディングス,東証ST,建設,2026-04-15,566,321800,9628
1419,タマホーム,東証PR,建設,2026-04-15,3570,244800,105157
141A,トライアルホールディングス,東証GR,小売,2026-04-15,4380,703400,537502
1420,サンヨーホームズ,東証ST,建設,2026-04-15,638,103800,8454
1429,日本アクア,東証PR,建設,2026-04-15,702,367000,24402
142A,ジンジブ,東証GR,サービス,2026-04-15,705,3700,2048
1430,ファーストコーポレーション,東証ST,建設,2026-04-15,1112,50700,14860
1431,Lib_Work,東証GR,建設,2026-04-15,642,14900,15505
1433,ベステラ,東証PR,建設,2026-04-15,1045,188400,9716
1434,JESCOホールディングス,東証ST,建設,2026-04-15,2289,418700,15967
1435,robot_home,東証ST,不動産,2026-04-15,227,1553700,20686
1436,グリーンエナジー＆カンパニー,東証GR,建設,2026-04-15,3980,15900,17058
1438,岐阜造園,東証ST,建設,2026-04-15,1850,1100,6003
143A,イシン,東証GR,サービス,2026-04-15,756,300,1461
1443,技研ホールディングス,東証ST,建設,2026-04-15,302,92900,4904
1444,ニッソウ,東証GR,建設,2026-04-15,2768,200,3014
1446,キャンディル,東証ST,建設,2026-04-15,525,7800,5635
1447,SAAFホールディングス,東証GR,建設,2026-04-15,327,250300,7994
1450,TANAKEN,東証ST,建設,2026-04-15,1507,1400,13110
145A,L_is_B,東証GR,情報通信,2026-04-15,815,1900,4177
146A,コロンビア・ワークス,東証ST,不動産,2026-04-15,3840,57100,29632
147A,ソラコム,東証GR,情報通信,2026-04-15,1044,109600,47585
148A,ハッチ・ワーク,東証GR,情報通信,2026-04-15,1865,2200,3578
1491,中外鉱業,東証ST,非鉄金属,2026-04-15,986,64600,14285
149A,シンカ,東証GR,情報通信,2026-04-15,877,21100,2819
150A,JSH,東証GR,サービス,2026-04-15,370,700,2096
1514,住石ホールディングス,東証ST,鉱業,2026-04-15,850,708700,57139
1515,日鉄鉱業,東証PR,鉱業,2026-04-15,2839,1578500,227120
1518,三井松島ホールディングス,東証PR,その他製品,2026-04-15,1387,191500,90602
151A,ダイブ,東証GR,サービス,2026-04-15,645,18800,5546
153A,カウリス,東証GR,情報通信,2026-04-15,1360,89200,8882
155A,情報戦略テクノロジー,東証GR,情報通信,2026-04-15,829,54400,8845
156A,マテリアルグループ,東証GR,サービス,2026-04-15,879,234500,8682
157A,グリーンモンスター,東証GR,サービス,2026-04-15,1033,97100,3403
1605,INPEX,東証PR,鉱業,2026-04-15,4035,11571700,5080614
160A,アズパートナーズ,東証ST,サービス,2026-04-15,2179,11400,7817
1662,石油資源開発,東証PR,鉱業,2026-04-15,2400,1919600,616801
1663,K＆Oエナジーグループ,東証PR,鉱業,2026-04-15,4960,150400,140547
166A,タスキホールディングス,東証GR,不動産,2026-04-15,805,322300,49697
167A,リョーサン菱洋ホールディングス,東証PR,卸売,2026-04-15,2753,267500,148662
168A,イタミアート,東証GR,その他製品,2026-04-15,1272,1800,1870
1711,SDSホールディングス,東証ST,建設,2026-04-15,277,53300,2890
