sc,name,market,industry,trade_date,close_price,volume,market_cap_million_yen
0001,日経平均株価（日経225）,東証,株価指数,2026-04-10,56924.11,,
0002,TOPIX（東証株価指数）,東証,株価指数,2026-04-10,3739.85,,
1301,極洋,東証PR,水産・農林,2026-04-10,5010,28200,60512
130A,Veritas_In_Silico,東証GR,医薬品,2026-04-10,489,120800,3172
1332,ニッスイ,東証PR,水産・農林,2026-04-10,1340,1363100,418657
1333,Umios,東証PR,水産・農林,2026-04-10,1464.5,481200,222218
135A,VRAIN_Solution,東証GR,情報通信,2026-04-10,2665,50800,27332
1375,ユキグニファクトリー,東証PR,水産・農林,2026-04-10,1051,40200,41946
1376,カネコ種苗,東証ST,水産・農林,2026-04-10,1437,23100,16917
1377,サカタのタネ,東証PR,水産・農林,2026-04-10,4270,165400,193904
1379,ホクト,東証PR,水産・農林,2026-04-10,1930,104300,64383
137A,Cocolive,東証GR,情報通信,2026-04-10,760,13000,2313
1380,秋川牧園,東証ST,水産・農林,2026-04-10,1020,1400,4263
1381,アクシーズ,東証ST,水産・農林,2026-04-10,3930,15500,22077
1382,ホーブ,東証ST,水産・農林,2026-04-10,1753,300,1336
1383,ベルグアース,東証ST,水産・農林,2026-04-10,3330,13000,5373
1384,ホクリヨウ,東証ST,水産・農林,2026-04-10,2857,26900,24167
138A,光フードサービス,東証GR,小売,2026-04-10,2967,1300,2943
1401,エムビーエス,東証GR,建設,2026-04-10,1424,3500,11010
1407,ウエストホールディングス,東証ST,建設,2026-04-10,1848,669900,85059
1414,ショーボンドホールディングス,東証PR,建設,2026-04-10,1420,732700,310953
1417,ミライト・ワン,東証PR,建設,2026-04-10,3724,157000,340096
1418,インターライフホールディングス,東証ST,建設,2026-04-10,493,66200,8386
1419,タマホーム,東証PR,建設,2026-04-10,4060,177700,119591
141A,トライアルホールディングス,東証GR,小売,2026-04-10,4445,1710600,545479
1420,サンヨーホームズ,東証ST,建設,2026-04-10,654,78700,8666
1429,日本アクア,東証PR,建設,2026-04-10,711,109500,24714
142A,ジンジブ,東証GR,サービス,2026-04-10,702,2500,2039
1430,ファーストコーポレーション,東証ST,建設,2026-04-10,1082,28500,14459
1431,Lib_Work,東証GR,建設,2026-04-10,644,12100,15554
1433,ベステラ,東証PR,建設,2026-04-10,1041,707000,9678
1434,JESCOホールディングス,東証ST,建設,2026-04-10,1859,47200,12967
1435,robot_home,東証ST,不動産,2026-04-10,205,262600,18681
1436,グリーンエナジー＆カンパニー,東証GR,建設,2026-04-10,3925,30600,16823
1438,岐阜造園,東証ST,建設,2026-04-10,1849,600,5999
143A,イシン,東証GR,サービス,2026-04-10,756,800,1461
1443,技研ホールディングス,東証ST,建設,2026-04-10,300,64100,4871
1444,ニッソウ,東証GR,建設,2026-04-10,2747,1800,2991
1446,キャンディル,東証ST,建設,2026-04-10,530,24000,5689
1447,SAAFホールディングス,東証GR,建設,2026-04-10,326,805700,7970
1450,TANAKEN,東証ST,建設,2026-04-10,1498,4300,13032
145A,L_is_B,東証GR,情報通信,2026-04-10,833,6600,4269
146A,コロンビア・ワークス,東証ST,不動産,2026-04-10,4040,46900,31175
147A,ソラコム,東証GR,情報通信,2026-04-10,967,56900,44075
